"fare_id","route_id","origin_id","destination_id","contains_id"
"4012_1751_1_500_20260407","4012_1751_1_20260407","100736_1","100416_2",
"4012_1761_1_500_20260407","4012_1761_1_20260407","100736_1","100416_2",
"4012_1861_1_500_20260407","4012_1861_1_20260407","100736_1","100416_2",
"4012_1941_1_500_20260407","4012_1941_1_20260407","100736_1","100416_2",
"4012_1961_1_500_20260407","4012_1961_1_20260407","100736_1","100416_2",
"4012_2041_1_500_20260407","4012_2041_1_20260407","100736_1","100416_2",
"4012_2051_1_500_20260407","4012_2051_1_20260407","100736_1","100416_2",
"4012_7001_1_500_20260407","4012_7001_1_20260407","100736_1","100416_2",
"4012_7011_1_500_20260407","4012_7011_1_20260407","100736_1","100416_2",
"4012_1751_1_500_20260407","4012_1751_1_20260407","100736_1","100417_2",
"4012_1761_1_500_20260407","4012_1761_1_20260407","100736_1","100417_2",
"4012_1861_1_500_20260407","4012_1861_1_20260407","100736_1","100417_2",
"4012_1941_1_500_20260407","4012_1941_1_20260407","100736_1","100417_2",
"4012_1961_1_500_20260407","4012_1961_1_20260407","100736_1","100417_2",
"4012_2041_1_500_20260407","4012_2041_1_20260407","100736_1","100417_2",
"4012_2051_1_500_20260407","4012_2051_1_20260407","100736_1","100417_2",
"4012_7001_1_500_20260407","4012_7001_1_20260407","100736_1","100417_2",
"4012_7011_1_500_20260407","4012_7011_1_20260407","100736_1","100417_2",
"4012_1751_1_490_20260407","4012_1751_1_20260407","100736_1","100499_2",
"4012_1761_1_490_20260407","4012_1761_1_20260407","100736_1","100499_2",
"4012_1861_1_490_20260407","4012_1861_1_20260407","100736_1","100499_2",
"4012_1941_1_490_20260407","4012_1941_1_20260407","100736_1","100499_2",
"4012_1961_1_490_20260407","4012_1961_1_20260407","100736_1","100499_2",
"4012_2041_1_490_20260407","4012_2041_1_20260407","100736_1","100499_2",
"4012_2051_1_490_20260407","4012_2051_1_20260407","100736_1","100499_2",
"4012_7001_1_490_20260407","4012_7001_1_20260407","100736_1","100499_2",
"4012_7011_1_490_20260407","4012_7011_1_20260407","100736_1","100499_2",
"4012_1751_1_480_20260407","4012_1751_1_20260407","100736_1","100514_2",
"4012_1761_1_480_20260407","4012_1761_1_20260407","100736_1","100514_2",
"4012_1861_1_480_20260407","4012_1861_1_20260407","100736_1","100514_2",
"4012_1941_1_480_20260407","4012_1941_1_20260407","100736_1","100514_2",
"4012_1961_1_480_20260407","4012_1961_1_20260407","100736_1","100514_2",
"4012_2041_1_480_20260407","4012_2041_1_20260407","100736_1","100514_2",
"4012_2051_1_480_20260407","4012_2051_1_20260407","100736_1","100514_2",
"4012_7001_1_480_20260407","4012_7001_1_20260407","100736_1","100514_2",
"4012_7011_1_480_20260407","4012_7011_1_20260407","100736_1","100514_2",
"4012_1751_1_500_20260407","4012_1751_1_20260407","100736_1","100517_3",
"4012_1761_1_500_20260407","4012_1761_1_20260407","100736_1","100517_3",
"4012_1961_1_500_20260407","4012_1961_1_20260407","100736_1","100517_3",
"4012_7001_1_500_20260407","4012_7001_1_20260407","100736_1","100517_3",
"4012_7011_1_500_20260407","4012_7011_1_20260407","100736_1","100517_3",
"4012_1751_1_400_20260407","4012_1751_1_20260407","100736_1","100526_2",
"4012_1761_1_400_20260407","4012_1761_1_20260407","100736_1","100526_2",
"4012_1861_1_400_20260407","4012_1861_1_20260407","100736_1","100526_2",
"4012_1941_1_400_20260407","4012_1941_1_20260407","100736_1","100526_2",
"4012_1961_1_400_20260407","4012_1961_1_20260407","100736_1","100526_2",
"4012_2041_1_400_20260407","4012_2041_1_20260407","100736_1","100526_2",
"4012_2051_1_400_20260407","4012_2051_1_20260407","100736_1","100526_2",
"4012_7001_1_400_20260407","4012_7001_1_20260407","100736_1","100526_2",
"4012_7011_1_400_20260407","4012_7011_1_20260407","100736_1","100526_2",
"4012_1751_1_380_20260407","4012_1751_1_20260407","100736_1","100535_1",
"4012_1861_1_380_20260407","4012_1861_1_20260407","100736_1","100535_1",
"4012_1941_1_380_20260407","4012_1941_1_20260407","100736_1","100535_1",
"4012_1961_1_380_20260407","4012_1961_1_20260407","100736_1","100535_1",
"4012_2041_1_380_20260407","4012_2041_1_20260407","100736_1","100535_1",
"4012_7001_1_380_20260407","4012_7001_1_20260407","100736_1","100535_1",
"4012_1751_1_210_20260407","4012_1751_1_20260407","100736_1","100556_1",
"4012_1761_1_210_20260407","4012_1761_1_20260407","100736_1","100556_1",
"4012_1861_1_210_20260407","4012_1861_1_20260407","100736_1","100556_1",
"4012_1931_1_210_20260407","4012_1931_1_20260407","100736_1","100556_1",
"4012_1941_1_210_20260407","4012_1941_1_20260407","100736_1","100556_1",
"4012_1961_1_210_20260407","4012_1961_1_20260407","100736_1","100556_1",
"4012_1981_1_210_20260407","4012_1981_1_20260407","100736_1","100556_1",
"4012_2001_1_210_20260407","4012_2001_1_20260407","100736_1","100556_1",
"4012_2021_1_210_20260407","4012_2021_1_20260407","100736_1","100556_1",
"4012_2041_1_210_20260407","4012_2041_1_20260407","100736_1","100556_1",
"4012_2051_1_210_20260407","4012_2051_1_20260407","100736_1","100556_1",
"4012_7001_1_210_20260407","4012_7001_1_20260407","100736_1","100556_1",
"4012_7011_1_210_20260407","4012_7011_1_20260407","100736_1","100556_1",
"4012_1751_1_210_20260407","4012_1751_1_20260407","100736_1","100557_1",
"4012_1761_1_210_20260407","4012_1761_1_20260407","100736_1","100557_1",
"4012_1861_1_210_20260407","4012_1861_1_20260407","100736_1","100557_1",
"4012_1931_1_210_20260407","4012_1931_1_20260407","100736_1","100557_1",
"4012_1941_1_210_20260407","4012_1941_1_20260407","100736_1","100557_1",
"4012_1961_1_210_20260407","4012_1961_1_20260407","100736_1","100557_1",
"4012_1981_1_210_20260407","4012_1981_1_20260407","100736_1","100557_1",
"4012_2001_1_210_20260407","4012_2001_1_20260407","100736_1","100557_1",
"4012_2021_1_210_20260407","4012_2021_1_20260407","100736_1","100557_1",
"4012_2041_1_210_20260407","4012_2041_1_20260407","100736_1","100557_1",
"4012_2051_1_210_20260407","4012_2051_1_20260407","100736_1","100557_1",
"4012_7001_1_210_20260407","4012_7001_1_20260407","100736_1","100557_1",
"4012_7011_1_210_20260407","4012_7011_1_20260407","100736_1","100557_1",
"4012_1751_1_200_20260407","4012_1751_1_20260407","100736_1","100568_1",
"4012_1761_1_200_20260407","4012_1761_1_20260407","100736_1","100568_1",
"4012_1861_1_200_20260407","4012_1861_1_20260407","100736_1","100568_1",
"4012_1931_1_200_20260407","4012_1931_1_20260407","100736_1","100568_1",
"4012_1941_1_200_20260407","4012_1941_1_20260407","100736_1","100568_1",
"4012_1961_1_200_20260407","4012_1961_1_20260407","100736_1","100568_1",
"4012_1981_1_200_20260407","4012_1981_1_20260407","100736_1","100568_1",
"4012_2001_1_200_20260407","4012_2001_1_20260407","100736_1","100568_1",
"4012_2021_1_200_20260407","4012_2021_1_20260407","100736_1","100568_1",
"4012_2041_1_200_20260407","4012_2041_1_20260407","100736_1","100568_1",
"4012_2051_1_200_20260407","4012_2051_1_20260407","100736_1","100568_1",
"4012_7001_1_200_20260407","4012_7001_1_20260407","100736_1","100568_1",
"4012_7011_1_200_20260407","4012_7011_1_20260407","100736_1","100568_1",
"4012_1761_1_380_20260407","4012_1761_1_20260407","100736_1","100571_2",
"4012_2051_1_380_20260407","4012_2051_1_20260407","100736_1","100571_2",
"4012_7011_1_380_20260407","4012_7011_1_20260407","100736_1","100571_2",
"4012_1751_1_200_20260407","4012_1751_1_20260407","100736_1","100596_1",
"4012_1761_1_200_20260407","4012_1761_1_20260407","100736_1","100596_1",
"4012_1861_1_200_20260407","4012_1861_1_20260407","100736_1","100596_1",
"4012_1931_1_200_20260407","4012_1931_1_20260407","100736_1","100596_1",
"4012_1941_1_200_20260407","4012_1941_1_20260407","100736_1","100596_1",
"4012_1961_1_200_20260407","4012_1961_1_20260407","100736_1","100596_1",
"4012_1981_1_200_20260407","4012_1981_1_20260407","100736_1","100596_1",
"4012_2001_1_200_20260407","4012_2001_1_20260407","100736_1","100596_1",
"4012_2021_1_200_20260407","4012_2021_1_20260407","100736_1","100596_1",
"4012_2041_1_200_20260407","4012_2041_1_20260407","100736_1","100596_1",
"4012_2051_1_200_20260407","4012_2051_1_20260407","100736_1","100596_1",
